layer_key,program_id,layer_id,spacecraft_name,entity,maxrisk_gross,maxrisk_net,gross_exposure
349445_475172,349445,475172,HOTSAT-2 (SATELLITE VU 2),FUL,1981684.7625528618,990842.3812764309,2477105.9531910773
350998_477970,350998,477970,ASBM 1 (NORWAY),FIID,2474256.4907215997,371138.47360824,3092820.6134019997
351444_1,351444,1,ASIASAT 5,FUL,5087010.300799999,2543505.1503999997,6358762.875999999
351444_2,351444,2,ASIASAT 6/THAICOM 7,FUL,3265979.3759999997,1632989.6879999998,4082474.2199999997
351444_3,351444,3,ASIASAT 7,FUL,5265154.6304,2632577.3152,6581443.288
351444_4,351444,4,AMOS 7 (ASIASAT 8),FUL,3513402.0559999994,1756701.0279999997,4391752.569999999
351444_5,351444,5,ASIASAT 9,FUL,7504577.307079999,3752288.6535399994,9380721.633849999
351875_479568,351875,479568,EDRS C (HYLAS 3),FUL,4206186.05484536,2103093.02742268,5257732.5685567
356083_484966,356083,484966,VIASAT-1,FUL,4486441.72448136,2243220.86224068,5608052.1556017
356083_484967,356083,484967,KA-SAT,FUL,3617397.76716688,1808698.88358344,4521747.2089586
356083_484968,356083,484968,VIASAT-2,FUL,7422679.90515464,3711339.95257732,9278349.8814433
356130_485048,356130,485048,BSAT 4A,FUL,2035887.463059537,1017943.7315297686,2544859.3288244214
356130_485050,356130,485050,BSAT 4B,FUL,2351208.017046854,1175604.008523427,2939010.0213085674
356133_485057,356133,485057,WORLDVIEW 1,FUL,1731958.26515464,865979.13257732,2164947.8314433
356133_485059,356133,485059,WORLDVIEW 3,FUL,3092783.00515464,1546391.50257732,3865978.7564433
356133_485060,356133,485060,WORLDVIEW 2,FUL,1731958.26515464,865979.13257732,2164947.8314433
356133_501623,356133,501623,WORLDVIEW 3,FUL,3092783.00515464,1546391.50257732,3865978.7564433
356133_501624,356133,501624,WORLDVIEW 2,FUL,1731958.26515464,865979.13257732,2164947.8314433
356133_501625,356133,501625,WORLDVIEW 1,FUL,1731958.26515464,865979.13257732,2164947.8314433
357074_486815,357074,486815,VIASAT-3 F2,FUL,14845360.8,7422680.4,18556701.0
359147_489926,359147,489926,KOMPSAT 7,FUL,1602684.2550465553,801342.1275232777,2003355.318808194
360735_492379,360735,492379,TIBA 1 (NAVISAT 12A),FUL,17167378.159092806,8583689.079546403,21459222.698866006
360737_492382,360737,492382,MEASAT 3A (1R),FUL,395876.288,197938.144,494845.36
360737_492383,360737,492383,MEASAT 3B,FUL,2103092.776,1051546.388,2628865.97
360737_516619,360737,516619,MEASAT 3A (1R),FUL,395876.288,197938.144,494845.36
360737_516620,360737,516620,MEASAT 3B,FUL,2103092.776,1051546.388,2628865.97
361505_494217,361505,494217,MEASAT 3D,FUL,2992824.7372799995,1496412.3686399998,3741030.9215999995
361505_494218,361505,494218,MEASAT 3D,FUL,7398927.8227200005,3699463.9113600003,9248659.7784
361530_494323,361530,494323,SATRIA,FUL,14991885.005941357,7495942.502970679,18739856.257426698
361682_494911,361682,494911,TURKSAT 4A,FUL,2814390.42829904,1407195.21414952,3517988.0353738
361682_494912,361682,494912,TURKSAT 5B,FUL,7621488.976988239,3810744.4884941196,9526861.2212353
361682_494913,361682,494913,TURKSAT 5A,FUL,7266049.96727136,3633024.98363568,9082562.4590892
361682_494914,361682,494914,TURKSAT 4B,FUL,3677740.6949013597,1838870.3474506799,4597175.8686267
361696_494972,361696,494972,TURKSAT 4A,FUL,938130.3077148,469065.1538574,1172662.8846435
361696_494973,361696,494973,TURKSAT 5B,FUL,2540496.4906111998,1270248.2453055999,3175620.6132639996
361696_494974,361696,494974,TURKSAT 5A,FUL,2422016.65575712,1211008.32787856,3027520.8196964
361696_494975,361696,494975,TURKSAT 4B,FUL,1225913.5649671198,612956.7824835599,1532391.9562088999
361813_495424,361813,495424,FALCON EYE 2,FUL,6313527.776034155,3156763.8880170775,7891909.720042693
361838_495524,361838,495524,STAR ONE D1,FUL,1943051.3782048798,971525.6891024399,2428814.2227561
361838_495525,361838,495525,STAR ONE D2,FUL,13022167.895822158,6511083.947911079,16277709.869777698
362003_496098,362003,496098,AMAZONAS 3,FIID,1186364.098912879,177954.6148369318,1482955.1236410986
362003_496099,362003,496099,HISPASAT 30W-6 (HISPASAT 1F),FIID,6094972.940129424,914245.941019414,7618716.175161781
362003_496100,362003,496100,AMAZONAS 5,FIID,3101640.67112404,465246.1006686059,3877050.83890505
362003_496102,362003,496102,HISPASAT 30W-5 (HISPASAT 1E),FIID,1526977.9978306803,229046.69967460213,1908722.4972883505
362037_496234,362037,496234,STAR ONE C4,FUL,1059703.42091424,529851.71045712,1324629.2761428
362037_496235,362037,496235,STAR ONE D2,FUL,1552527.8324639997,776263.9162319999,1940659.7905799998
362037_496236,362037,496236,STAR ONE D1,FUL,1552527.8324639997,776263.9162319999,1940659.7905799998
364260_500084,364260,500084,AZERSPACE-1/AFRICASAT 1A,FUL,5260827.498048,2630413.749024,6576034.37256
364280_500128,364280,500128,JCSAT-2B (JCSAT-14),FUL,501687.0102592873,250843.50512964366,627108.7628241092
364280_500129,364280,500129,JCSAT-18/KACIFIC-1,FUL,1053297.6969223858,526648.8484611929,1316622.1211529823
364280_500130,364280,500130,JCSAT-16,FUL,331088.92492148513,165544.46246074256,413861.1561518564
364280_500131,364280,500131,JCSAT-110A (JCSAT-15),FUL,544566.242559832,272283.121279916,680707.8031997901
366022_503971,366022,503971,AL YAH 1,FUL,7425488.152572639,3712744.0762863196,9281860.1907158
366022_503972,366022,503972,AL YAH 2,FUL,9126295.90231528,4563147.95115764,11407869.8778941
366022_503987,366022,503987,THURAYA 4-NGS,FUL,11458601.785728,5729300.892864,14323252.23216
366029_503996,366029,503996,AL YAH 1,FUL,2182079.9963632,1091039.9981816,2727599.995454
366029_503997,366029,503997,AL YAH 2,FUL,2681886.1810971997,1340943.0905485998,3352357.7263714997
366029_503999,366029,503999,THURAYA 4-NGS,FUL,3364945.036992,1682472.518496,4206181.29624
366569_505191,366569,505191,ALSAT 3A (AERJILIYA YAOGAN-3A),FIBL,3999974.4,3999974.4,4999968.0
366569_505195,366569,505195,ALSAT 3B (AERJILIYA YAOGAN-3B),FIBL,3999964.8,3999964.8,4999956.0
367899_508203,367899,508203,TELKOMSAT 113BT,FUL,5140067.0343099525,2570033.5171549763,6425083.792887441
367899_529439,367899,529439,TELKOMSAT 113BT,FUL,5140105.100228007,2570052.5501140035,6425131.375285009
368892_509838,368892,509838,TUPAC KATARI,FUL,2474226.8,1237113.4,3092783.5
369418_510955,369418,510955,WORLDVIEW LEGION-1,FUL,3529416.940992,1764708.470496,4411771.17624
369418_510966,369418,510966,WORLDVIEW LEGION-6,FUL,3529416.940992,1764708.470496,4411771.17624
369418_510967,369418,510967,WORLDVIEW LEGION-5,FUL,3529416.940992,1764708.470496,4411771.17624
369418_510968,369418,510968,WORLDVIEW LEGION-4,FUL,3529416.940992,1764708.470496,4411771.17624
369418_510969,369418,510969,WORLDVIEW LEGION-3,FUL,3529416.940992,1764708.470496,4411771.17624
369418_510970,369418,510970,WORLDVIEW LEGION-2,FUL,3529416.940992,1764708.470496,4411771.17624
369418_527399,369418,527399,WORLDVIEW LEGION-6,FUL,3529416.940992,1764708.470496,4411771.17624
369418_527400,369418,527400,WORLDVIEW LEGION-5,FUL,3529416.940992,1764708.470496,4411771.17624
369418_527401,369418,527401,WORLDVIEW LEGION-4,FUL,3529416.940992,1764708.470496,4411771.17624
369418_527402,369418,527402,WORLDVIEW LEGION-3,FUL,3529416.940992,1764708.470496,4411771.17624
369418_527403,369418,527403,WORLDVIEW LEGION-2,FUL,3529416.940992,1764708.470496,4411771.17624
369418_527404,369418,527404,WORLDVIEW LEGION-1,FUL,3529416.940992,1764708.470496,4411771.17624
373475_518720,373475,518720,EUTELSAT 36D,FIID,4396407.985678386,659461.197851758,5495509.982097982
373574_518936,373574,518936,HYLAS 2,FIID,1882368.0,282355.19999999995,2352960.0
373994_519791,373994,519791,JCSAT-17,FUL,5787886.412321023,2893943.2061605114,7234858.015401279
374038_519865,374038,519865,JCSAT-17,FUL,12018887.04012062,6009443.52006031,15023608.800150774
375192_522248,375192,522248,HYLAS 1,FUL,1082361.6,541180.8,1352952.0
377845_526548,377845,526548,ANUVU 1 (NUVIEW A),FUL,451070.902656,225535.451328,563838.62832
377845_526549,377845,526549,ANUVU 2 (NUVIEW B),FUL,451070.902656,225535.451328,563838.62832
377845_526550,377845,526550,AGILA,FUL,537446.181888,268723.090944,671807.72736
